timestamp,gpu_util_%,vram_used_mb,vram_total_mb,gpu_temp_c,power_w
21:33:45,0,0,4096,50,9.23
21:33:55,0,249,4096,50,9.18
21:34:05,0,249,4096,50,9.23
21:34:15,0,249,4096,50,9.18
21:34:25,0,249,4096,50,9.11
21:34:35,95,3919,4096,58,64.84
21:34:45,76,3935,4096,61,65.54
21:34:55,81,3935,4096,63,65.17
21:35:05,60,3935,4096,63,60.14
21:35:15,100,3935,4096,65,63.51
21:35:25,100,2159,4096,66,67.93
21:35:36,100,3889,4096,65,58.06
21:35:46,99,3889,4096,67,62.46
21:35:56,95,3889,4096,67,60.68
21:36:06,86,3889,4096,65,60.01
21:36:16,99,3889,4096,68,63.94
21:36:26,64,2319,4096,68,65.64
21:36:36,81,3855,4096,66,54.87
21:36:46,81,3855,4096,66,57.55
21:36:56,100,3855,4096,66,56.05
21:37:06,100,3855,4096,67,54.19
21:37:16,99,3855,4096,67,52.21
21:37:26,100,3855,4096,65,55.56
21:37:36,64,2389,4096,67,63.08
21:37:46,99,3879,4096,67,57.34
21:37:56,68,3879,4096,66,28.98
21:38:06,100,3885,4096,66,54.90
21:38:16,100,3879,4096,66,57.41
21:38:26,100,3879,4096,67,55.83
21:38:37,100,3879,4096,67,56.60
21:38:47,4,2435,4096,63,40.14
21:38:57,100,3875,4096,66,56.36
21:39:07,79,3875,4096,64,54.40
21:39:17,88,3875,4096,65,56.12
21:39:27,86,3875,4096,63,53.63
21:39:37,81,3875,4096,65,56.69
21:39:47,95,3875,4096,65,56.42
21:39:57,100,3869,4096,65,50.76
21:40:07,100,3869,4096,65,58.02
21:40:17,100,3869,4096,64,56.20
21:40:27,100,3869,4096,64,58.03
21:40:37,99,3869,4096,65,61.02
21:40:47,89,3869,4096,64,59.02
21:40:58,100,3869,4096,64,57.21
21:41:08,100,3835,4096,62,50.53
21:41:18,99,3835,4096,64,52.51
21:41:28,86,3835,4096,62,52.47
21:41:38,99,3835,4096,64,54.18
21:41:48,100,3835,4096,64,52.62
21:41:58,100,3835,4096,62,52.19
21:42:08,88,3835,4096,62,52.15
21:42:18,100,2439,4096,65,66.47
21:42:28,100,3861,4096,64,56.86
21:42:39,86,3861,4096,63,55.06
21:42:49,100,3861,4096,62,56.75
21:42:59,98,3861,4096,63,58.23
21:43:09,99,3861,4096,64,57.58
21:43:19,100,3861,4096,64,57.42
21:43:29,89,3845,4096,63,53.56
21:43:39,99,3839,4096,64,56.48
21:43:49,94,3839,4096,64,55.26
21:43:59,100,3839,4096,62,54.54
21:44:09,99,3839,4096,64,58.27
21:44:19,99,3839,4096,64,55.39
21:44:29,60,3839,4096,63,55.26
21:44:39,60,3855,4096,64,63.24
21:44:50,81,3855,4096,64,64.18
21:45:00,100,3855,4096,64,63.62
21:45:10,100,3855,4096,64,61.21
21:45:20,100,3855,4096,65,63.09
21:45:30,100,2159,4096,66,62.96
21:45:40,87,3817,4096,63,53.38
21:45:50,100,3817,4096,65,56.01
21:46:00,99,3817,4096,64,56.28
21:46:10,100,3817,4096,64,54.06
21:46:20,86,3817,4096,63,52.29
21:46:30,81,3817,4096,64,54.40
21:46:40,89,3817,4096,63,54.66
21:46:50,100,3853,4096,61,43.93
21:47:00,88,3853,4096,61,50.20
21:47:11,100,3853,4096,62,51.04
21:47:21,82,3853,4096,62,50.29
21:47:31,78,3853,4096,61,48.54
21:47:41,100,3853,4096,62,48.70
21:47:51,81,3853,4096,61,50.13
21:48:01,81,3853,4096,62,50.00
21:48:11,91,3853,4096,62,50.33
21:48:21,95,3853,4096,64,61.83
21:48:31,99,3853,4096,65,64.67
21:48:41,99,3853,4096,66,64.00
21:48:51,89,3853,4096,66,63.01
21:49:01,99,3853,4096,66,62.41
21:49:11,78,2463,4096,66,58.90
21:49:21,100,3847,4096,67,60.21
21:49:31,100,3847,4096,65,55.89
21:49:41,86,3847,4096,64,56.56
21:49:51,100,3847,4096,66,61.87
21:50:02,99,3847,4096,66,62.76
21:50:12,100,3847,4096,66,62.69
21:50:22,95,3845,4096,63,25.81
21:50:32,86,3845,4096,65,57.86
21:50:42,64,3845,4096,64,58.18
21:50:52,100,3845,4096,66,53.21
21:51:02,100,3845,4096,65,54.73
21:51:12,98,3845,4096,65,55.30
21:51:22,100,3845,4096,65,55.46
21:51:32,99,3843,4096,64,34.90
21:51:42,99,3843,4096,66,58.99
21:51:52,86,3843,4096,65,56.73
21:52:02,99,3843,4096,66,56.86
21:52:12,100,3843,4096,64,53.17
21:52:22,90,3843,4096,66,52.62
21:52:33,100,3843,4096,65,55.06
21:52:43,100,2451,4096,66,66.09
21:52:53,86,3839,4096,65,55.35
21:53:03,99,3839,4096,65,56.28
21:53:13,99,3839,4096,65,57.16
21:53:23,99,3846,4096,66,57.89
21:53:33,100,3839,4096,65,55.98
21:53:43,81,3839,4096,66,56.12
21:53:53,0,2101,4096,61,33.72
21:54:03,86,3843,4096,65,53.12
21:54:13,100,3843,4096,65,54.56
21:54:23,84,3843,4096,64,52.55
21:54:33,100,3843,4096,66,56.18
21:54:43,70,3843,4096,64,54.24
21:54:53,100,3843,4096,66,56.73
21:55:03,78,2431,4096,67,67.15
21:55:13,100,3871,4096,66,58.85
21:55:24,99,3871,4096,65,60.27
21:55:34,99,3871,4096,67,60.14
21:55:44,99,3871,4096,67,60.00
21:55:54,100,3871,4096,66,58.42
21:56:04,100,3871,4096,67,58.29
21:56:14,99,3879,4096,67,60.66
21:56:24,100,3879,4096,66,57.91
21:56:34,100,3879,4096,64,56.34
21:56:44,99,3879,4096,67,58.49
21:56:54,99,3879,4096,65,55.27
21:57:04,100,3879,4096,66,56.59
21:57:14,71,2317,4096,66,53.19
21:57:24,84,3855,4096,66,54.55
21:57:34,86,3855,4096,66,56.93
21:57:44,99,3855,4096,66,60.82
21:57:55,100,3855,4096,66,56.76
21:58:05,99,3855,4096,66,58.26
21:58:15,100,3862,4096,66,58.83
21:58:25,100,3863,4096,67,57.60
21:58:35,99,3863,4096,67,62.04
21:58:45,99,3863,4096,67,63.33
21:58:55,99,3863,4096,68,62.97
21:59:05,99,3863,4096,68,62.90
21:59:15,84,3863,4096,68,62.38
21:59:25,82,3867,4096,65,46.18
21:59:35,94,3869,4096,64,49.29
21:59:45,78,3869,4096,65,52.46
21:59:55,99,3869,4096,66,62.12
22:00:05,100,3869,4096,66,63.69
22:00:15,100,3869,4096,66,61.91
22:00:26,99,3869,4096,65,49.76
22:00:36,100,3869,4096,63,50.54
22:00:46,97,3893,4096,65,51.00
22:00:56,76,3895,4096,62,44.47
22:01:06,100,3895,4096,64,48.55
22:01:16,87,3895,4096,62,44.74
22:01:26,100,3895,4096,61,42.25
22:01:36,99,3895,4096,63,47.64
22:01:46,100,3895,4096,62,49.16
22:01:56,100,3895,4096,63,47.35
22:02:06,100,3895,4096,61,44.71
22:02:16,100,2413,4096,64,66.35
22:02:26,99,3853,4096,62,47.92
22:02:36,100,3853,4096,61,48.10
22:02:46,99,3853,4096,62,42.55
22:02:57,100,3853,4096,61,43.60
22:03:07,98,3853,4096,62,46.37
22:03:17,100,3860,4096,61,45.93
22:03:27,69,3853,4096,60,44.21
22:03:37,100,3853,4096,61,46.52
22:03:47,99,3853,4096,62,47.35
22:03:57,65,2311,4096,63,46.13
22:04:07,78,3881,4096,64,61.26
22:04:17,100,3881,4096,64,58.05
22:04:27,81,3883,4096,65,65.50
22:04:37,94,3883,4096,64,55.97
22:04:47,100,3883,4096,65,58.49
22:04:57,100,3883,4096,66,59.52
22:05:07,99,3877,4096,65,53.39
22:05:17,99,3877,4096,66,57.97
22:05:27,59,3877,4096,64,58.30
22:05:38,99,3877,4096,66,61.37
22:05:48,100,3877,4096,66,59.69
22:05:58,100,3877,4096,66,62.09
22:06:08,100,3877,4096,65,57.27
22:06:18,100,3863,4096,65,59.90
22:06:28,100,3863,4096,66,59.06
22:06:38,100,3863,4096,65,59.56
22:06:48,100,3863,4096,65,55.76
22:06:58,100,3863,4096,65,54.61
22:07:08,100,3863,4096,65,58.89
22:07:18,85,3819,4096,65,43.13
22:07:28,99,3819,4096,66,52.88
22:07:38,81,3819,4096,64,51.41
22:07:49,99,3819,4096,63,51.52
22:07:59,99,3819,4096,64,51.86
22:08:09,99,3819,4096,64,51.52
22:08:19,100,3819,4096,64,53.53
22:08:29,100,3826,4096,63,53.51
22:08:39,95,3853,4096,62,25.01
22:08:49,97,3853,4096,63,52.74
22:08:59,95,3853,4096,62,54.65
22:09:09,99,3853,4096,64,51.82
22:09:19,99,3853,4096,65,51.62
22:09:29,99,3853,4096,64,55.74
22:09:39,82,3853,4096,63,54.95
22:09:50,65,2415,4096,65,66.23
22:10:00,100,3849,4096,64,62.84
22:10:10,99,3849,4096,65,61.59
22:10:20,100,3849,4096,65,55.10
22:10:30,99,3849,4096,65,59.19
22:10:40,99,3849,4096,66,61.01
