epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2994.3,0.90376,0.49951,0.9506,0.86797,0.84305,0.92327,0.5304,1.54196,0.78803,1.3876,0.0005941,0.0005941,0.0005941
43,3053.59,0.88018,0.48376,0.93694,0.87016,0.88055,0.95713,0.72924,0.85823,0.64476,1.09302,0.0005842,0.0005842,0.0005842
44,3113.17,0.91323,0.50439,0.9549,0.87738,0.8361,0.92418,0.55593,1.43334,0.76445,1.32401,0.0005743,0.0005743,0.0005743
45,3190.84,0.89279,0.47976,0.93515,0.87273,0.874,0.9471,0.60185,1.30122,0.73032,1.24403,0.0005644,0.0005644,0.0005644
46,3252.17,0.8969,0.48263,0.94658,0.9023,0.87143,0.95484,0.76512,0.79751,0.58621,1.05842,0.0005545,0.0005545,0.0005545
47,3319.74,0.86089,0.47003,0.93933,0.85804,0.92139,0.96098,0.74107,0.8465,0.59148,1.07378,0.0005446,0.0005446,0.0005446
48,3384.18,0.8823,0.47475,0.93583,0.88234,0.88166,0.94806,0.67267,1.0696,0.64818,1.15732,0.0005347,0.0005347,0.0005347
49,3449.57,0.86315,0.46983,0.9333,0.92742,0.84974,0.95436,0.73103,0.88719,0.57707,1.10129,0.0005248,0.0005248,0.0005248
50,3525.49,0.89724,0.48634,0.94205,0.9234,0.86075,0.95453,0.70099,1.00337,0.58377,1.13853,0.0005149,0.0005149,0.0005149
51,3604.31,0.90422,0.47717,0.94304,0.89553,0.87838,0.95956,0.75717,0.81102,0.57435,1.07061,0.000505,0.000505,0.000505
52,3668.93,0.86938,0.46319,0.93959,0.89002,0.85671,0.94029,0.62779,1.21905,0.67767,1.22857,0.0004951,0.0004951,0.0004951
53,3735.14,0.91421,0.46446,0.94927,0.88729,0.87985,0.94845,0.59967,1.3289,0.68371,1.26009,0.0004852,0.0004852,0.0004852
54,3804.05,0.87502,0.45727,0.93077,0.87601,0.9052,0.95269,0.67289,1.07168,0.61263,1.15791,0.0004753,0.0004753,0.0004753
55,3863.09,0.8814,0.45395,0.94514,0.91338,0.8539,0.94072,0.70034,0.94381,0.57551,1.11178,0.0004654,0.0004654,0.0004654
56,3926.84,0.85541,0.4554,0.93102,0.90325,0.90203,0.97039,0.65176,1.244,0.67573,1.20492,0.0004555,0.0004555,0.0004555
57,3996.89,0.86611,0.44938,0.92355,0.93552,0.85045,0.943,0.57683,1.44023,0.67091,1.31664,0.0004456,0.0004456,0.0004456
58,4063.06,0.86103,0.44246,0.9308,0.92818,0.8668,0.957,0.68952,1.03994,0.57887,1.14339,0.0004357,0.0004357,0.0004357
