timestamp,gpu_util_%,vram_used_mb,vram_total_mb,gpu_temp_c,power_w
11:11:10,0,18,4096,50,8.97
11:11:20,0,238,4096,50,9.24
11:11:31,0,238,4096,50,9.17
11:11:41,0,238,4096,49,8.84
11:11:51,0,238,4096,49,6.00
11:12:01,81,3942,4096,57,53.45
11:12:11,98,3942,4096,59,52.28
11:12:21,84,3942,4096,60,47.71
11:12:31,100,3942,4096,61,50.75
11:12:41,99,3942,4096,62,51.30
11:12:51,99,3906,4096,63,51.90
11:13:01,81,3906,4096,63,51.03
11:13:11,85,3906,4096,64,50.56
11:13:21,68,3906,4096,64,49.78
11:13:31,99,3906,4096,65,51.96
11:13:41,100,3858,4096,64,37.49
11:13:51,100,3858,4096,63,38.12
11:14:01,99,3858,4096,63,43.21
11:14:12,100,3858,4096,61,37.51
11:14:22,99,3858,4096,62,39.10
11:14:32,100,3858,4096,61,36.99
11:14:42,100,3858,4096,60,37.77
11:14:52,100,3858,4096,60,38.55
11:15:02,100,3858,4096,60,39.12
11:15:12,100,2320,4096,61,52.53
11:15:22,87,3850,4096,59,44.28
11:15:32,100,3850,4096,62,46.58
11:15:42,100,3850,4096,61,47.97
11:15:52,99,3850,4096,62,51.06
11:16:03,100,2076,4096,61,52.56
11:16:13,99,3844,4096,62,43.84
11:16:23,99,3844,4096,62,43.46
11:16:33,100,3844,4096,61,40.25
11:16:43,100,3844,4096,61,40.95
11:16:53,100,3844,4096,59,40.17
11:17:03,100,3844,4096,60,45.64
11:17:13,100,3844,4096,60,45.13
11:17:23,100,3840,4096,61,40.75
11:17:33,100,3840,4096,62,45.80
11:17:43,99,3840,4096,63,45.94
11:17:53,100,3840,4096,62,47.75
11:18:03,97,3840,4096,61,39.37
11:18:13,99,3840,4096,63,46.73
11:18:24,100,2336,4096,62,44.77
11:18:34,99,3840,4096,62,44.47
11:18:44,100,3840,4096,60,42.17
11:18:54,93,3840,4096,61,40.66
11:19:04,100,3840,4096,61,43.21
11:19:14,100,3840,4096,61,42.91
11:19:24,95,3840,4096,59,40.72
11:19:34,83,3840,4096,60,42.29
11:19:44,88,3838,4096,59,38.76
11:19:54,100,3838,4096,59,38.72
11:20:04,85,3838,4096,60,43.34
11:20:14,100,3838,4096,61,39.75
11:20:24,94,3838,4096,61,39.49
11:20:34,99,3838,4096,63,42.80
11:20:45,100,3838,4096,62,39.70
11:20:55,99,3838,4096,64,44.03
11:21:05,85,3832,4096,63,26.31
11:21:15,100,3832,4096,62,42.87
11:21:25,100,3832,4096,62,41.57
11:21:35,100,3832,4096,60,38.00
11:21:45,100,3832,4096,62,42.29
11:21:55,99,3832,4096,61,40.31
11:22:05,100,3832,4096,60,38.82
11:22:15,99,3832,4096,61,43.27
11:22:25,100,2094,4096,62,41.66
11:22:35,100,3844,4096,61,38.44
11:22:45,100,3844,4096,64,44.58
11:22:56,100,3844,4096,62,39.59
11:23:06,92,3844,4096,62,39.04
11:23:16,100,3844,4096,63,42.34
11:23:26,79,3844,4096,60,40.58
11:23:36,100,3844,4096,60,39.01
11:23:46,0,3818,4096,58,37.36
11:23:56,100,3818,4096,61,41.97
11:24:07,100,3825,4096,61,42.23
11:24:17,100,3818,4096,59,38.83
11:24:27,100,3818,4096,60,37.88
11:24:37,100,3818,4096,62,39.56
11:24:47,100,3818,4096,61,38.77
11:24:57,100,3818,4096,63,41.69
11:25:07,99,3818,4096,63,40.61
11:25:17,99,3840,4096,62,43.78
11:25:27,100,3840,4096,62,40.37
11:25:37,90,3840,4096,63,43.81
11:25:47,100,3840,4096,62,44.37
11:25:57,100,3840,4096,63,46.80
11:26:07,100,3840,4096,61,43.97
11:26:17,10,2394,4096,60,46.38
11:26:28,94,3800,4096,60,41.78
11:26:38,73,3800,4096,61,41.51
11:26:48,95,3800,4096,60,42.04
11:26:58,89,3800,4096,60,43.09
11:27:08,100,3800,4096,60,45.49
11:27:18,100,3800,4096,60,43.39
11:27:28,93,3800,4096,59,41.40
11:27:38,100,3838,4096,62,40.79
11:27:48,92,3838,4096,61,38.47
11:27:58,99,3838,4096,63,43.24
11:28:09,82,3838,4096,62,46.19
11:28:19,100,3838,4096,62,45.92
11:28:29,99,3838,4096,62,41.64
11:28:39,100,3838,4096,60,40.21
11:28:49,100,2302,4096,62,48.83
11:28:59,99,3838,4096,60,46.70
11:29:09,100,3838,4096,62,48.48
11:29:19,100,3838,4096,62,48.30
11:29:29,100,3838,4096,60,46.35
11:29:39,100,3845,4096,62,46.70
11:29:49,91,2360,4096,61,45.88
11:29:59,100,3870,4096,61,44.77
11:30:09,87,3870,4096,60,44.73
11:30:19,100,3870,4096,61,45.29
11:30:29,79,3870,4096,60,45.44
11:30:40,82,3870,4096,61,47.61
11:30:50,80,3870,4096,63,47.30
11:31:00,96,3872,4096,62,48.47
11:31:10,100,3872,4096,61,47.96
11:31:20,79,3872,4096,61,42.87
11:31:30,100,3872,4096,63,47.60
11:31:40,99,3872,4096,62,47.71
11:31:50,100,3872,4096,61,41.57
11:32:00,91,3868,4096,61,47.96
11:32:10,100,3868,4096,62,48.45
11:32:20,100,3868,4096,61,46.59
11:32:30,99,3868,4096,63,49.75
11:32:40,100,3868,4096,62,47.96
11:32:50,81,3868,4096,61,48.30
11:33:00,100,3894,4096,62,47.63
11:33:10,100,3894,4096,61,47.81
11:33:21,100,3894,4096,62,43.50
11:33:31,81,3894,4096,61,47.28
11:33:41,86,3894,4096,61,47.24
11:33:51,100,2074,4096,61,42.80
11:34:01,87,3888,4096,60,46.90
11:34:11,96,3888,4096,61,48.16
11:34:21,87,3895,4096,61,45.95
11:34:31,88,3888,4096,60,44.35
11:34:41,79,3888,4096,61,46.88
11:34:51,100,3876,4096,60,43.47
11:35:01,100,3876,4096,60,44.61
11:35:11,87,3876,4096,59,40.66
11:35:21,99,3876,4096,59,43.94
11:35:31,77,3876,4096,59,40.98
11:35:42,99,3876,4096,62,44.68
11:35:52,100,3876,4096,61,43.36
11:36:02,100,3870,4096,63,47.63
11:36:12,90,3870,4096,62,46.20
11:36:22,100,3870,4096,61,44.80
11:36:32,100,3870,4096,63,43.72
11:36:42,100,3870,4096,62,44.43
11:36:52,99,3870,4096,63,45.81
11:37:02,100,3890,4096,61,43.06
11:37:12,99,3890,4096,60,44.61
11:37:22,99,3890,4096,61,45.24
11:37:32,100,3890,4096,62,46.61
11:37:42,100,3890,4096,62,46.40
11:37:53,77,3890,4096,60,45.31
11:38:03,100,3890,4096,60,45.15
11:38:13,81,3890,4096,60,46.48
