epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.8727,2.07877,3.32506,1.52665,0.59409,0.51907,0.55298,0.30236,1.37866,1.8461,1.20104,0.00033,0.00033,0.00033
2,105.237,1.43355,1.38668,1.15358,0.62087,0.71483,0.6853,0.38408,1.4669,1.62798,1.35711,0.000656766,0.000656766,0.000656766
3,199.094,1.38512,1.2325,1.16395,0.75646,0.74232,0.79487,0.4448,1.38808,1.38649,1.27052,0.000976933,0.000976933,0.000976933
4,252.072,1.27851,1.07155,1.11712,0.72198,0.73749,0.78005,0.51089,1.08312,1.29282,1.13789,0.0009703,0.0009703,0.0009703
5,327.475,1.2817,0.97042,1.10386,0.80514,0.78072,0.85331,0.41341,1.64428,1.22822,1.35475,0.0009604,0.0009604,0.0009604
6,392.614,1.21557,0.83893,1.08311,0.76872,0.82689,0.86913,0.5948,1.10016,1.09964,1.14574,0.0009505,0.0009505,0.0009505
7,466.886,1.21605,0.80894,1.08247,0.77809,0.76518,0.84101,0.50143,1.28548,1.08794,1.23319,0.0009406,0.0009406,0.0009406
8,549.697,1.2274,0.79861,1.08257,0.81712,0.85546,0.8927,0.65272,0.95223,0.95328,1.07306,0.0009307,0.0009307,0.0009307
9,634.592,1.17183,0.75375,1.0519,0.79395,0.86127,0.91095,0.65073,0.97618,0.85869,1.08196,0.0009208,0.0009208,0.0009208
10,711.765,1.15728,0.71875,1.05975,0.80698,0.7537,0.84865,0.54941,1.26557,0.99187,1.23712,0.0009109,0.0009109,0.0009109
11,799.227,1.12442,0.71242,1.04957,0.81677,0.83903,0.91663,0.50552,1.58283,1.03703,1.32361,0.000901,0.000901,0.000901
12,863.707,1.11859,0.69131,1.04743,0.85089,0.76162,0.86083,0.46396,1.54884,0.99917,1.36083,0.0008911,0.0008911,0.0008911
13,939.551,1.13657,0.69756,1.05269,0.82007,0.8547,0.90702,0.66551,0.95327,0.83904,1.08577,0.0008812,0.0008812,0.0008812
14,1016.07,1.1451,0.68284,1.05463,0.80402,0.72785,0.82332,0.4536,1.50727,1.06744,1.35813,0.0008713,0.0008713,0.0008713
15,1077.63,1.08669,0.67468,1.04033,0.81498,0.85156,0.92109,0.69269,0.90544,0.82184,1.05792,0.0008614,0.0008614,0.0008614
16,1140.92,1.07692,0.64842,1.03401,0.89258,0.80665,0.90133,0.59812,1.15832,0.84868,1.16095,0.0008515,0.0008515,0.0008515
17,1202.93,1.00615,0.63485,1.0101,0.82941,0.80165,0.8948,0.56399,1.26429,0.87716,1.24368,0.0008416,0.0008416,0.0008416
18,1260.41,1.03171,0.61168,1.01497,0.86535,0.8376,0.92234,0.68596,0.95174,0.76381,1.05405,0.0008317,0.0008317,0.0008317
19,1320.2,1.03214,0.60225,1.01175,0.87503,0.83787,0.92475,0.6096,1.21554,0.81464,1.17597,0.0008218,0.0008218,0.0008218
20,1374.62,0.99805,0.59579,1.01303,0.83427,0.88994,0.92162,0.66929,1.01827,0.7682,1.11479,0.0008119,0.0008119,0.0008119
21,1444.63,0.99224,0.60045,1.00441,0.82174,0.85314,0.91724,0.6914,0.90925,0.76927,1.08701,0.000802,0.000802,0.000802
22,1506.7,0.99029,0.58914,1.00158,0.80819,0.82574,0.8638,0.45275,1.71555,1.03821,1.37526,0.0007921,0.0007921,0.0007921
23,1573.52,0.99737,0.56605,0.99941,0.86849,0.82688,0.92886,0.614,1.20652,0.80482,1.17906,0.0007822,0.0007822,0.0007822
24,1634.79,1.04191,0.57805,1.01273,0.8462,0.8798,0.93629,0.7006,0.94727,0.73024,1.07335,0.0007723,0.0007723,0.0007723
25,1693.84,0.97401,0.55138,0.99281,0.86102,0.89799,0.94084,0.58469,1.34955,0.82375,1.19912,0.0007624,0.0007624,0.0007624
26,1755.66,0.99976,0.56957,0.99383,0.7798,0.86129,0.8967,0.66422,0.97902,0.85181,1.09857,0.0007525,0.0007525,0.0007525
27,1812.31,0.97757,0.56432,0.99295,0.83826,0.88363,0.94094,0.71927,0.87346,0.70382,1.06053,0.0007426,0.0007426,0.0007426
28,1870.97,0.93977,0.53074,0.97439,0.92918,0.85814,0.94848,0.73938,0.85138,0.65283,1.03951,0.0007327,0.0007327,0.0007327
29,1939.06,0.95971,0.53538,0.98593,0.86757,0.88513,0.94368,0.70584,0.94774,0.70215,1.08231,0.0007228,0.0007228,0.0007228
30,2004.57,0.96293,0.53246,0.98171,0.91321,0.85899,0.94943,0.72306,0.87206,0.64323,1.03128,0.0007129,0.0007129,0.0007129
31,2064.14,0.95336,0.53862,0.98541,0.89779,0.84059,0.94895,0.75872,0.7684,0.63257,1.01076,0.000703,0.000703,0.000703
32,2127.08,0.93159,0.54218,0.98831,0.82269,0.85521,0.90894,0.63178,1.05128,0.87293,1.14558,0.0006931,0.0006931,0.0006931
33,2186.55,0.9366,0.53933,0.9865,0.87938,0.8315,0.93669,0.70682,0.9005,0.752,1.06728,0.0006832,0.0006832,0.0006832
