clase,AP50,Precision,Recall,F1
open,0.9690,0.9512,0.9168,0.9337
short,0.9583,0.9590,0.8933,0.9250
mousebite,0.9780,0.9569,0.9590,0.9580
spur,0.9822,0.9934,0.9351,0.9634
copper,0.9901,0.9866,0.9720,0.9793
pin-hole,0.9919,0.8443,0.9936,0.9129
