epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1572.57,0.91112,0.56386,0.92633,0.91023,0.90179,0.95927,0.74889,0.85101,0.63679,0.98628,0.0005941,0.0005941,0.0005941
43,1610.66,0.90623,0.56613,0.92956,0.8939,0.84102,0.92339,0.51919,1.59671,0.87037,1.28942,0.0005842,0.0005842,0.0005842
44,1653.27,0.94505,0.57811,0.93685,0.88476,0.92147,0.95724,0.66322,1.19068,0.73712,1.04666,0.0005743,0.0005743,0.0005743
45,1698.78,0.90938,0.55353,0.92951,0.92085,0.89052,0.95413,0.70318,0.99799,0.64908,1.06214,0.0005644,0.0005644,0.0005644
46,1739.91,0.90862,0.55403,0.93289,0.87552,0.87452,0.93803,0.72202,0.90585,0.68548,1.02231,0.0005545,0.0005545,0.0005545
47,1785.93,0.90896,0.5583,0.92978,0.86642,0.89585,0.9398,0.62696,1.23772,0.75677,1.15485,0.0005446,0.0005446,0.0005446
48,1825.23,0.89367,0.54096,0.92332,0.86309,0.89476,0.93973,0.41331,2.04267,1.02701,1.44438,0.0005347,0.0005347,0.0005347
49,1858.06,0.87477,0.53844,0.92015,0.92798,0.89667,0.95751,0.72054,0.94011,0.58537,1.0351,0.0005248,0.0005248,0.0005248
50,1900.35,0.87941,0.53756,0.92361,0.90041,0.90011,0.95764,0.64798,1.23373,0.70251,1.0507,0.0005149,0.0005149,0.0005149
51,1934.18,0.87857,0.53203,0.91639,0.92668,0.90679,0.96408,0.68894,1.08943,0.63564,1.02701,0.000505,0.000505,0.000505
52,1975.46,0.89443,0.52502,0.92696,0.92111,0.89966,0.96339,0.75302,0.87377,0.59645,0.98802,0.0004951,0.0004951,0.0004951
53,2014.97,0.87641,0.52202,0.9216,0.93305,0.89209,0.96231,0.76819,0.80047,0.56803,0.97807,0.0004852,0.0004852,0.0004852
54,2045.92,0.91679,0.53635,0.92751,0.88031,0.89987,0.95567,0.76565,0.79293,0.62835,0.99123,0.0004753,0.0004753,0.0004753
55,2085.42,0.84684,0.51137,0.92043,0.86562,0.90864,0.94681,0.57239,1.47257,0.7683,1.14001,0.0004654,0.0004654,0.0004654
