timestamp,gpu_util_%,vram_used_mb,vram_total_mb,gpu_temp_c,power_w
09:44:31,0,18,4096,52,6.67
09:44:41,0,209,4096,51,5.98
09:44:51,0,209,4096,49,3.43
09:45:01,0,209,4096,48,3.39
09:45:12,0,209,4096,49,9.05
09:45:22,100,3906,4096,52,33.98
09:45:32,99,3930,4096,57,58.73
09:45:42,100,3930,4096,57,40.69
09:45:52,100,3930,4096,61,43.96
09:46:02,72,3914,4096,61,46.01
09:46:12,97,3914,4096,63,49.49
09:46:22,99,3914,4096,63,48.06
09:46:32,100,3880,4096,61,47.47
09:46:42,76,3880,4096,63,48.44
09:46:52,66,3880,4096,63,48.98
09:47:02,99,3910,4096,63,47.78
09:47:12,79,3914,4096,63,42.94
09:47:22,95,3914,4096,62,44.68
09:47:33,100,3862,4096,61,40.50
09:47:43,100,3864,4096,60,40.28
09:47:53,100,3864,4096,61,43.73
09:48:03,99,3864,4096,60,42.61
09:48:13,87,3874,4096,60,28.55
09:48:23,93,3874,4096,60,39.67
09:48:33,100,3874,4096,60,43.08
09:48:43,100,3874,4096,59,40.19
09:48:53,63,2054,4096,60,44.75
09:49:03,100,3896,4096,58,39.65
09:49:13,99,3896,4096,59,38.60
09:49:24,100,3896,4096,58,38.95
09:49:34,80,3896,4096,58,38.56
09:49:44,100,3890,4096,58,32.07
09:49:54,100,3890,4096,59,48.59
09:50:04,90,3890,4096,60,48.77
09:50:14,100,3896,4096,60,42.82
09:50:24,100,3896,4096,60,44.24
09:50:34,83,3896,4096,59,45.22
09:50:44,59,2052,4096,60,43.18
09:50:55,100,3908,4096,60,46.26
09:51:05,39,3908,4096,60,44.06
09:51:15,86,3908,4096,61,45.84
09:51:25,100,3908,4096,60,42.91
09:51:35,91,3908,4096,60,45.69
09:51:45,100,3908,4096,60,44.56
09:51:55,99,3924,4096,60,44.95
09:52:05,100,3924,4096,59,43.68
09:52:15,79,3924,4096,60,40.27
09:52:26,100,3924,4096,59,42.20
09:52:36,100,3894,4096,60,33.90
09:52:46,100,3896,4096,60,44.75
09:52:56,100,3896,4096,59,43.59
09:53:06,100,3896,4096,59,40.39
09:53:16,100,3898,4096,59,37.21
09:53:26,100,3898,4096,59,48.10
09:53:36,99,3898,4096,60,47.92
09:53:46,82,3882,4096,61,38.24
09:53:56,67,3884,4096,60,47.63
09:54:06,72,3862,4096,60,41.54
09:54:16,100,3862,4096,60,42.51
09:54:26,99,3896,4096,60,45.65
09:54:36,100,3896,4096,60,45.08
09:54:46,100,3896,4096,61,45.40
09:54:57,100,3868,4096,60,41.80
09:55:07,100,3868,4096,59,42.02
09:55:17,100,3868,4096,59,41.97
09:55:27,100,3868,4096,59,41.05
09:55:37,100,3834,4096,59,38.36
09:55:47,100,3834,4096,59,39.20
