clase,AP50,Precision,Recall,F1
open,0.9870,0.9534,0.9788,0.9659
short,0.9521,0.9409,0.8992,0.9196
mousebite,0.9832,0.9856,0.9539,0.9695
spur,0.9699,0.9801,0.9167,0.9473
copper,0.9888,0.9910,0.9634,0.9770
pin-hole,0.9924,0.9261,0.9862,0.9552
