clase,AP50,Precision,Recall,F1
open,0.9380,0.8638,0.9531,0.9063
short,0.9158,0.9373,0.8556,0.8946
mousebite,0.9740,0.9682,0.9369,0.9523
spur,0.9653,0.9811,0.8618,0.9176
copper,0.9807,0.9778,0.9512,0.9643
pin-hole,0.9873,0.9283,0.9643,0.9459
