epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,930.076,0.93339,0.52952,0.91493,0.87561,0.81579,0.89819,0.44153,1.79735,0.90203,1.29552,0.0005941,0.0005941,0.0005941
43,952.2,0.90327,0.50444,0.9108,0.85029,0.84712,0.91335,0.49244,1.66484,0.84878,1.23755,0.0005842,0.0005842,0.0005842
44,974.061,0.93343,0.50945,0.91645,0.86599,0.83131,0.91731,0.54719,1.43901,0.81262,1.16955,0.0005743,0.0005743,0.0005743
45,996.084,0.95456,0.50924,0.91521,0.87239,0.81339,0.89259,0.39184,2.05387,0.96319,1.41522,0.0005644,0.0005644,0.0005644
46,1017.79,0.91351,0.48985,0.9199,0.89162,0.80515,0.90845,0.45528,1.78689,0.84408,1.29893,0.0005545,0.0005545,0.0005545
47,1039.76,0.90813,0.49749,0.91438,0.86182,0.81166,0.89308,0.41822,1.90944,0.88977,1.35007,0.0005446,0.0005446,0.0005446
48,1061.67,0.88373,0.48793,0.91,0.84375,0.74357,0.82524,0.31609,2.27232,1.03118,1.57395,0.0005347,0.0005347,0.0005347
49,1083.55,0.8852,0.49607,0.90754,0.88319,0.7957,0.90745,0.4579,1.79642,0.89002,1.30664,0.0005248,0.0005248,0.0005248
50,1105.32,0.89699,0.492,0.91062,0.88389,0.84622,0.92103,0.48663,1.69739,0.78465,1.26217,0.0005149,0.0005149,0.0005149
51,1127.41,0.89797,0.49559,0.9069,0.88859,0.8253,0.89998,0.41747,1.93663,0.92168,1.35676,0.000505,0.000505,0.000505
52,1149.23,0.87519,0.48551,0.90704,0.9067,0.81908,0.90708,0.46259,1.78171,0.89899,1.29536,0.0004951,0.0004951,0.0004951
53,1171.14,0.88843,0.48302,0.90267,0.85566,0.73357,0.83314,0.28036,2.46455,1.0941,1.64289,0.0004852,0.0004852,0.0004852
54,1192.98,0.8768,0.47578,0.90093,0.87801,0.85811,0.92235,0.46967,1.78077,0.815,1.29794,0.0004753,0.0004753,0.0004753
55,1214.64,0.87624,0.47175,0.90205,0.89335,0.81761,0.90442,0.4748,1.73042,0.85367,1.29071,0.0004654,0.0004654,0.0004654
56,1236.58,0.90312,0.47518,0.90757,0.89056,0.82352,0.91524,0.48465,1.70812,0.84972,1.2527,0.0004555,0.0004555,0.0004555
57,1258.39,0.87466,0.46701,0.90018,0.89944,0.85438,0.92221,0.57544,1.38567,0.71839,1.12818,0.0004456,0.0004456,0.0004456
58,1280.31,0.84659,0.46764,0.89969,0.92205,0.86811,0.94483,0.53914,1.58232,0.73424,1.18993,0.0004357,0.0004357,0.0004357
59,1302.08,0.89488,0.47458,0.90282,0.90423,0.84997,0.93144,0.52468,1.61933,0.78625,1.226,0.0004258,0.0004258,0.0004258
60,1323.93,0.82835,0.44614,0.8937,0.9078,0.82885,0.92604,0.51203,1.61845,0.79635,1.22693,0.0004159,0.0004159,0.0004159
61,1345.68,0.84106,0.44806,0.90088,0.90099,0.85367,0.92631,0.54298,1.45448,0.72757,1.15481,0.000406,0.000406,0.000406
62,1367.73,0.84697,0.44828,0.89708,0.89509,0.85297,0.92281,0.44146,1.88557,0.84804,1.33182,0.0003961,0.0003961,0.0003961
63,1389.47,0.84602,0.45224,0.89741,0.92254,0.8733,0.94528,0.56064,1.51025,0.70938,1.18151,0.0003862,0.0003862,0.0003862
64,1411.34,0.84875,0.44977,0.89609,0.9086,0.83447,0.9273,0.45879,1.84875,0.82966,1.31639,0.0003763,0.0003763,0.0003763
65,1433.05,0.82648,0.44315,0.89156,0.90768,0.84491,0.91887,0.4327,1.92882,0.86967,1.36754,0.0003664,0.0003664,0.0003664
66,1454.86,0.84799,0.45215,0.89341,0.89741,0.82752,0.92175,0.51623,1.61101,0.8158,1.22397,0.0003565,0.0003565,0.0003565
67,1476.73,0.84118,0.44256,0.89612,0.88021,0.80114,0.87026,0.3303,2.28761,0.97618,1.56571,0.0003466,0.0003466,0.0003466
68,1498.64,0.84217,0.45599,0.89217,0.91312,0.83729,0.9219,0.469,1.76671,0.8212,1.30346,0.0003367,0.0003367,0.0003367
69,1520.65,0.8293,0.44574,0.88973,0.9101,0.87229,0.94237,0.56695,1.46746,0.7102,1.17025,0.0003268,0.0003268,0.0003268
70,1542.47,0.81862,0.44242,0.8904,0.88418,0.82797,0.90095,0.39875,2.05289,0.89874,1.43458,0.0003169,0.0003169,0.0003169
71,1564.85,0.83532,0.43889,0.89673,0.90931,0.8462,0.9227,0.51413,1.63803,0.78074,1.23106,0.000307,0.000307,0.000307
72,1586.51,0.82492,0.4371,0.88701,0.91243,0.83642,0.91513,0.45158,1.8485,0.81484,1.32468,0.0002971,0.0002971,0.0002971
73,1608.75,0.7949,0.42063,0.88403,0.90463,0.86451,0.93597,0.52616,1.60606,0.73281,1.21444,0.0002872,0.0002872,0.0002872
74,1630.44,0.81728,0.43159,0.88798,0.9033,0.84147,0.92317,0.47899,1.75539,0.78174,1.2883,0.0002773,0.0002773,0.0002773
75,1652.42,0.82325,0.43562,0.89706,0.90283,0.87403,0.93752,0.52663,1.60903,0.7331,1.22324,0.0002674,0.0002674,0.0002674
76,1674.19,0.80059,0.41636,0.88326,0.90189,0.83457,0.91418,0.44766,1.90709,0.84154,1.37122,0.0002575,0.0002575,0.0002575
77,1696.3,0.79844,0.42406,0.8846,0.89331,0.84486,0.9198,0.46458,1.80149,0.80582,1.30799,0.0002476,0.0002476,0.0002476
78,1718.3,0.78205,0.41912,0.8826,0.88934,0.86215,0.91937,0.53214,1.5705,0.73281,1.20128,0.0002377,0.0002377,0.0002377
79,1740.05,0.7889,0.41857,0.88298,0.89935,0.83125,0.90716,0.41823,1.99547,0.85045,1.40098,0.0002278,0.0002278,0.0002278
80,1761.98,0.7879,0.41756,0.87677,0.92279,0.87281,0.94038,0.53582,1.60956,0.7415,1.22113,0.0002179,0.0002179,0.0002179
81,1784,0.78148,0.40909,0.88882,0.91544,0.84632,0.92862,0.42778,2.00115,0.82464,1.41279,0.000208,0.000208,0.000208
82,1806.11,0.78122,0.41459,0.88091,0.90351,0.8565,0.9325,0.47845,1.81407,0.79089,1.30448,0.0001981,0.0001981,0.0001981
83,1827.89,0.78005,0.40659,0.88627,0.9088,0.85466,0.92918,0.50907,1.68483,0.73897,1.23444,0.0001882,0.0001882,0.0001882
84,1849.79,0.76498,0.39746,0.88533,0.90741,0.83383,0.91428,0.4542,1.87063,0.82733,1.33704,0.0001783,0.0001783,0.0001783
85,1871.72,0.75848,0.40645,0.8798,0.89442,0.79829,0.89769,0.36671,2.20855,0.93813,1.51836,0.0001684,0.0001684,0.0001684
86,1893.66,0.77303,0.40648,0.87773,0.9036,0.84095,0.9296,0.53328,1.59731,0.75941,1.20958,0.0001585,0.0001585,0.0001585
87,1915.45,0.77817,0.40461,0.87978,0.9117,0.83573,0.92196,0.45434,1.8823,0.82383,1.32945,0.0001486,0.0001486,0.0001486
88,1937.41,0.76048,0.3971,0.87585,0.90004,0.83794,0.91404,0.40342,2.07856,0.84641,1.44248,0.0001387,0.0001387,0.0001387
