clase,AP50,Precision,Recall,F1
open,0.9516,0.9037,0.9575,0.9298
short,0.9618,0.9672,0.8975,0.9310
mousebite,0.9836,0.9837,0.9556,0.9694
spur,0.9818,0.9867,0.9183,0.9513
copper,0.9888,0.9912,0.9659,0.9784
pin-hole,0.9869,0.8938,0.9830,0.9363
