epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.899,2.32673,3.97487,1.62203,0.47961,0.45073,0.41172,0.20452,1.68239,2.26439,1.35788,0.000326667,0.000326667,0.000326667
2,345.552,1.46501,1.44374,1.11392,0.50351,0.55471,0.43295,0.2041,1.85579,14.9508,1.60301,0.000653466,0.000653466,0.000653466
3,522.199,1.37796,1.14223,1.12212,0.19597,0.23281,0.12316,0.02317,3.048,2.83755,2.29963,0.000973665,0.000973665,0.000973665
4,690.165,1.41388,1.04818,1.12215,0.63375,0.6114,0.62492,0.18853,2.344,1.6983,1.78929,0.0009703,0.0009703,0.0009703
5,859.941,1.28338,0.92891,1.06941,0.64803,0.67946,0.68603,0.19783,2.43226,1.60424,1.85491,0.0009604,0.0009604,0.0009604
6,1027.87,1.19133,0.83519,1.03231,0.78792,0.76603,0.81088,0.40055,1.68356,1.19723,1.36526,0.0009505,0.0009505,0.0009505
7,1190.53,1.21236,0.79478,1.03804,0.77174,0.82971,0.86819,0.60737,1.08525,0.96293,1.1073,0.0009406,0.0009406,0.0009406
8,1357.68,1.14107,0.74331,1.01414,0.79452,0.81864,0.88023,0.6162,1.06319,1.0018,1.1072,0.0009307,0.0009307,0.0009307
9,1515.6,1.16439,0.74156,1.01158,0.79821,0.81263,0.87356,0.60237,1.14053,1.02727,1.13357,0.0009208,0.0009208,0.0009208
10,1692.56,1.13347,0.7072,1.01217,0.78788,0.80173,0.86318,0.48356,1.50648,1.07878,1.28901,0.0009109,0.0009109,0.0009109
11,1867.68,1.07974,0.669,0.99424,0.8014,0.80029,0.87726,0.56564,1.20042,1.02573,1.14033,0.000901,0.000901,0.000901
12,2038.65,1.08163,0.68108,0.99503,0.82022,0.87248,0.91107,0.61435,1.12858,0.93488,1.11914,0.0008911,0.0008911,0.0008911
13,2206.65,1.1005,0.66131,0.99688,0.84885,0.77221,0.86989,0.42275,1.74455,1.08249,1.39208,0.0008812,0.0008812,0.0008812
14,2363.18,1.11885,0.66336,1.00775,0.84597,0.84218,0.90331,0.48497,1.59748,1.01619,1.3006,0.0008713,0.0008713,0.0008713
15,2515.87,1.17582,0.71658,1.03183,0.78752,0.86347,0.9062,0.66338,0.95827,0.92532,1.06477,0.0008614,0.0008614,0.0008614
16,2689.01,1.05496,0.64297,0.98751,0.78191,0.86411,0.90617,0.57866,1.28208,0.91699,1.18828,0.0008515,0.0008515,0.0008515
17,2850.51,1.00929,0.62738,0.97816,0.78771,0.83058,0.89391,0.58939,1.17661,0.9629,1.13677,0.0008416,0.0008416,0.0008416
18,3000.3,1.07579,0.62188,0.99257,0.83294,0.85529,0.91184,0.66072,0.99994,0.84861,1.07404,0.0008317,0.0008317,0.0008317
19,3167.08,0.99903,0.59008,0.9714,0.85368,0.84321,0.928,0.68806,1.00375,0.83442,1.05797,0.0008218,0.0008218,0.0008218
20,3327.32,0.97276,0.57826,0.97254,0.8336,0.85392,0.91235,0.62578,1.12173,0.85318,1.13621,0.0008119,0.0008119,0.0008119
21,3491.08,1.00936,0.57992,0.98097,0.8153,0.84781,0.9103,0.65785,0.97943,0.82955,1.09242,0.000802,0.000802,0.000802
22,3652.46,1.0702,0.60899,0.98726,0.84481,0.86743,0.93689,0.65158,1.09303,0.78239,1.11565,0.0007921,0.0007921,0.0007921
23,3807.53,0.98679,0.57046,0.96291,0.89924,0.84315,0.93332,0.65961,1.10771,0.7592,1.11618,0.0007822,0.0007822,0.0007822
24,3968.45,0.9706,0.55279,0.96118,0.85602,0.87146,0.94056,0.72466,0.86041,0.70892,1.02488,0.0007723,0.0007723,0.0007723
25,4145.45,0.94301,0.54829,0.95457,0.84292,0.8977,0.94473,0.60556,1.28592,0.82802,1.1671,0.0007624,0.0007624,0.0007624
26,4296.38,0.95242,0.55289,0.94762,0.8977,0.82555,0.9162,0.67584,1.00066,0.78122,1.08178,0.0007525,0.0007525,0.0007525
27,4454.88,0.94842,0.54615,0.95257,0.89972,0.81398,0.91512,0.57082,1.31442,0.84435,1.21299,0.0007426,0.0007426,0.0007426
28,4615.29,0.96813,0.53852,0.94903,0.83073,0.88089,0.93714,0.64893,1.18491,0.82822,1.10732,0.0007327,0.0007327,0.0007327
29,4770.46,1.00725,0.54595,0.96761,0.86574,0.845,0.92062,0.53662,1.48969,0.83638,1.26831,0.0007228,0.0007228,0.0007228
30,4921.74,0.95908,0.52091,0.95366,0.91665,0.85398,0.94044,0.73339,0.85856,0.67848,1.02999,0.0007129,0.0007129,0.0007129
31,5083.02,0.9748,0.53462,0.96109,0.8464,0.87102,0.92874,0.58894,1.32448,0.84155,1.20051,0.000703,0.000703,0.000703
32,5248.88,0.95607,0.53601,0.95926,0.86086,0.90855,0.95094,0.61843,1.29811,0.78445,1.11643,0.0006931,0.0006931,0.0006931
33,5410.16,0.91702,0.51614,0.94459,0.84139,0.85974,0.92938,0.63874,1.16487,0.77824,1.17886,0.0006832,0.0006832,0.0006832
34,5578.94,0.88177,0.49456,0.94315,0.89078,0.83826,0.94214,0.63353,1.21342,0.75834,1.1442,0.0006733,0.0006733,0.0006733
35,5740.13,0.9552,0.51381,0.95493,0.85154,0.85977,0.93806,0.67019,1.03565,0.73705,1.09257,0.0006634,0.0006634,0.0006634
36,5895.01,1.07516,0.55688,0.98571,0.85347,0.8501,0.94303,0.70551,0.96622,0.74133,1.02597,0.0006535,0.0006535,0.0006535
37,6057.27,0.98998,0.52003,0.96428,0.86507,0.87779,0.93777,0.66718,1.08481,0.74096,1.11385,0.0006436,0.0006436,0.0006436
38,6218.56,0.90571,0.49114,0.94163,0.85068,0.87508,0.93312,0.56016,1.49457,0.90634,1.20622,0.0006337,0.0006337,0.0006337
39,6385.06,0.92597,0.50161,0.9394,0.84177,0.90454,0.94028,0.73757,0.84225,0.69299,1.02609,0.0006238,0.0006238,0.0006238
40,6555.85,0.87488,0.48652,0.93122,0.82472,0.90381,0.93941,0.74646,0.82168,0.67482,1.01368,0.0006139,0.0006139,0.0006139
41,6719.09,0.87282,0.48176,0.93139,0.86537,0.84657,0.93996,0.70545,0.9308,0.78494,1.06682,0.000604,0.000604,0.000604
42,6880.1,0.88302,0.48864,0.93597,0.87353,0.88927,0.94689,0.75504,0.80179,0.62,1.00116,0.0005941,0.0005941,0.0005941
43,7053.12,0.88174,0.47999,0.93686,0.89994,0.86954,0.95419,0.76618,0.80621,0.64035,1.01635,0.0005842,0.0005842,0.0005842
44,7232.84,0.89544,0.48143,0.93511,0.87576,0.8813,0.95199,0.74281,0.85078,0.66043,1.0263,0.0005743,0.0005743,0.0005743
45,7394.19,0.86287,0.46378,0.93108,0.86615,0.84346,0.9175,0.53972,1.54227,0.87119,1.32725,0.0005644,0.0005644,0.0005644
46,7575.2,0.85315,0.4665,0.93111,0.88244,0.8713,0.95034,0.66248,1.11934,0.72013,1.13125,0.0005545,0.0005545,0.0005545
47,7729.65,0.8627,0.47607,0.93043,0.8669,0.91347,0.95119,0.75323,0.8109,0.67525,1.01428,0.0005446,0.0005446,0.0005446
48,7877.73,0.86329,0.46965,0.92602,0.92266,0.87495,0.95115,0.71544,0.95889,0.63535,1.08072,0.0005347,0.0005347,0.0005347
49,8046.67,0.84008,0.46424,0.92434,0.87672,0.89241,0.94783,0.74873,0.82835,0.63687,1.02306,0.0005248,0.0005248,0.0005248
50,8218.13,0.84828,0.46206,0.92202,0.88361,0.8796,0.95249,0.77815,0.74138,0.6081,0.99013,0.0005149,0.0005149,0.0005149
51,8375.57,0.85514,0.45182,0.92449,0.89784,0.84984,0.94177,0.67476,1.08031,0.70993,1.07266,0.000505,0.000505,0.000505
52,8538.61,0.84041,0.451,0.92932,0.90235,0.90642,0.95642,0.73957,0.88484,0.61935,1.05275,0.0004951,0.0004951,0.0004951
53,8687.92,0.86359,0.45408,0.9319,0.88099,0.89848,0.94887,0.6516,1.19122,0.71909,1.1557,0.0004852,0.0004852,0.0004852
