epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.783,1.9942,2.62842,1.38382,0.54616,0.46966,0.46646,0.15914,2.02979,1.99285,1.47232,0.00033,0.00033,0.00033
2,197.56,1.49438,1.23179,1.11221,0.33224,0.30879,0.23366,0.07034,2.46966,2.61886,1.84508,0.000656766,0.000656766,0.000656766
3,292.282,1.47458,1.18906,1.11764,0.58669,0.59908,0.60336,0.32076,1.52364,1.80111,1.37788,0.000976933,0.000976933,0.000976933
4,370.03,1.37992,1.08172,1.08793,0.73386,0.72119,0.79048,0.52119,1.16512,1.127,1.19857,0.0009703,0.0009703,0.0009703
5,458.733,1.33773,1.00838,1.06326,0.53855,0.44753,0.4195,0.0872,3.04686,1.89887,2.30259,0.0009604,0.0009604,0.0009604
6,547.93,1.32969,0.93221,1.05583,0.63599,0.46389,0.47204,0.15055,2.48013,1.63997,1.86444,0.0009505,0.0009505,0.0009505
7,628.606,1.28427,0.8683,1.04105,0.62182,0.53808,0.55022,0.14638,2.71165,1.58253,2.03126,0.0009406,0.0009406,0.0009406
8,713.806,1.24287,0.84046,1.02882,0.74733,0.66752,0.72003,0.24049,2.1588,1.35575,1.6208,0.0009307,0.0009307,0.0009307
9,793.136,1.29386,0.81301,1.03096,0.76771,0.82846,0.8733,0.55687,1.22081,0.90147,1.19198,0.0009208,0.0009208,0.0009208
10,875.038,1.26647,0.78512,1.02991,0.7117,0.65448,0.68553,0.28163,2.01488,1.59751,1.54929,0.0009109,0.0009109,0.0009109
11,954.867,1.18329,0.7417,1.01532,0.79681,0.69902,0.77465,0.39681,1.66933,1.07746,1.40965,0.000901,0.000901,0.000901
12,1043.72,1.19972,0.73595,1.00436,0.75715,0.7776,0.8231,0.44656,1.5592,0.99592,1.34693,0.0008911,0.0008911,0.0008911
13,1128.3,1.18281,0.72,1.00988,0.76355,0.70832,0.78678,0.29679,2.169,1.16843,1.62428,0.0008812,0.0008812,0.0008812
14,1212.01,1.15076,0.69505,0.99629,0.67437,0.65993,0.6954,0.23899,2.38916,1.32687,1.75501,0.0008713,0.0008713,0.0008713
15,1294.32,1.13598,0.70336,0.99349,0.71733,0.71031,0.75973,0.23804,2.45386,1.29674,1.80092,0.0008614,0.0008614,0.0008614
16,1390.59,1.16207,0.69509,0.99744,0.76406,0.6707,0.76541,0.27875,2.26878,1.18852,1.69568,0.0008515,0.0008515,0.0008515
17,1476.39,1.08434,0.66581,0.97895,0.74214,0.67938,0.74955,0.28224,2.17501,1.15777,1.64314,0.0008416,0.0008416,0.0008416
18,1568.56,1.09383,0.65551,0.96825,0.63172,0.539,0.56993,0.14745,2.78123,1.53749,2.08826,0.0008317,0.0008317,0.0008317
19,1666.66,1.12986,0.67676,0.98058,0.8016,0.72623,0.81475,0.32929,2.08209,1.06732,1.57048,0.0008218,0.0008218,0.0008218
20,1748.08,1.15742,0.65477,0.99572,0.62113,0.50892,0.51823,0.11564,2.91259,1.46919,2.11138,0.0008119,0.0008119,0.0008119
21,1832.74,1.07396,0.62812,0.97476,0.76128,0.63656,0.72555,0.22727,2.57037,1.23383,1.90151,0.000802,0.000802,0.000802
22,1913.01,1.13693,0.6446,0.97886,0.87585,0.79014,0.88601,0.52758,1.36412,0.86201,1.24737,0.0007921,0.0007921,0.0007921
23,1996.48,1.10876,0.63243,0.96858,0.8822,0.78893,0.89869,0.55148,1.3807,0.84325,1.26226,0.0007822,0.0007822,0.0007822
24,2078.46,1.02162,0.59678,0.95503,0.80582,0.70617,0.79056,0.27258,2.3254,1.1331,1.68749,0.0007723,0.0007723,0.0007723
25,2162.78,1.05483,0.59263,0.96133,0.78683,0.72563,0.75346,0.24561,2.4473,1.12131,1.79488,0.0007624,0.0007624,0.0007624
26,2247.33,1.07685,0.60319,0.96073,0.82842,0.7058,0.80055,0.33671,2.07532,1.07223,1.55678,0.0007525,0.0007525,0.0007525
27,2338.49,1.08323,0.60417,0.96853,0.74427,0.66129,0.69005,0.17726,2.83444,1.26613,2.06106,0.0007426,0.0007426,0.0007426
28,2423.09,1.04365,0.58843,0.94787,0.88868,0.82802,0.93004,0.66421,1.05002,0.71817,1.09083,0.0007327,0.0007327,0.0007327
29,2527.81,1.03673,0.58142,0.95977,0.76153,0.71309,0.74605,0.20882,2.7545,1.23583,2.00917,0.0007228,0.0007228,0.0007228
30,2623.49,1.02435,0.57287,0.95094,0.87451,0.80167,0.88624,0.49883,1.51945,0.84815,1.2557,0.0007129,0.0007129,0.0007129
31,2705.39,1.01421,0.56928,0.9459,0.88202,0.81303,0.89557,0.44897,1.71752,0.8466,1.42177,0.000703,0.000703,0.000703
32,2791.14,0.98092,0.55815,0.94425,0.8224,0.69632,0.79072,0.27388,2.31525,1.12456,1.70738,0.0006931,0.0006931,0.0006931
33,2895.6,0.99931,0.56148,0.94586,0.79354,0.76661,0.82515,0.34995,2.10357,1.1464,1.6086,0.0006832,0.0006832,0.0006832
34,2987.08,0.98079,0.53544,0.94475,0.83588,0.81311,0.89231,0.51284,1.53362,0.80574,1.3239,0.0006733,0.0006733,0.0006733
