clase,AP50,Precision,Recall,F1
open,0.9690,0.9595,0.9350,0.9471
short,0.9464,0.9424,0.8549,0.8965
mousebite,0.9810,0.9805,0.9438,0.9618
spur,0.9823,0.9867,0.9224,0.9535
copper,0.9903,0.9761,0.9701,0.9731
pin-hole,0.9860,0.9442,0.9787,0.9612
